c	mg	snp	mean	sd
5	30	all	0.88130081300813	0.0307588075880759
5	30	even	0.970054200542005	0.0153116531165312
5	30	100k	0.975880758807588	0.00718157181571816
5	30	10k	0.97230352303523	0.013550135501355
5	20	all	0.93130081300813	0.0242547425474255
5	20	even	0.966937669376694	0.0214092140921409
5	20	100k	0.989159891598916	0.00813008130081301
5	20	10k	0.975609756097561	0.0176151761517615
5	10	all	0.973170731707317	0.0113821138211382
5	10	even	0.960027100271003	0.0276422764227642
5	10	100k	0.972789115646259	0.0117479674796748
5	10	10k	0.963821138211382	0.0303523035230352
5	5	all	0.941734417344173	0.0227642276422764
5	5	even	0.954607046070461	0.0424119241192412
5	5	100k	0.964905149051491	0.0170731707317073
5	5	10k	0.959363143631436	0.0329268292682927
15	30	all	0.949051490514905	0.0197831978319783
15	30	even	0.967479674796748	0.0223577235772358
15	30	100k	0.984146341463415	0.0104336043360434
15	30	10k	0.9789972899729	0.00894308943089431
15	20	all	0.932791327913279	0.0307588075880759
15	20	even	0.9579945799458	0.0333333333333333
15	20	100k	0.988075880758808	0.00989159891598916
15	20	10k	0.976829268292683	0.0142276422764228
15	10	all	0.943224932249322	0.0281842818428184
15	10	even	0.948915989159892	0.0401084010840108
15	10	100k	0.991734417344173	0.00555555555555556
15	10	10k	0.961788617886179	0.0342818428184282
15	5	all	0.977506775067751	0.0102981029810298
15	5	even	0.945392953929539	0.0399728997289973
15	5	100k	0.98780487804878	0.0040650406504065
15	5	10k	0.956639566395664	0.0375338753387534
25	30	all	0.959891598915989	0.0165311653116531
25	30	even	0.968292682926829	0.0197831978319783
25	30	100k	0.966666666666667	0.010840108401084
25	30	10k	0.979945799457994	0.00785907859078591
25	20	all	0.947560975609756	0.0207317073170732
25	20	even	0.959078590785908	0.0363143631436314
25	20	100k	0.978726287262873	0.00907859078590786
25	20	10k	0.975067750677507	0.016260162601626
25	10	all	0.968428184281843	0.0191056910569106
25	10	even	0.954471544715447	0.0376693766937669
25	10	100k	0.990921409214092	0.00609756097560976
25	10	10k	0.963143631436314	0.0356368563685637
25	5	all	0.978455284552846	0.0130081300813008
25	5	even	0.949593495934959	0.039159891598916
25	5	100k	0.985365853658537	0.00813008130081301
25	5	10k	0.958672086720867	0.0367208672086721
